PL_Index,LP_Index,Pivot_Energy,PLEC_Flux_Density,LP_Flux_Density,PL_Flux_Density,Frac_Variability,Variability_Index,Npred,LP_beta,LP_SigCurv,Energy_Flux100,PLEC_SigCurv,Flux1000,Signif_Avg,PLEC_Exp_Index,Source_Name,ASSOC_FGL,CLASS1,ASSOC1
2.0184522,1.9698973,1939.0461,1.5831512e-13,1.6362279e-13,1.5180911e-13,0.31218225,39.290386,1117.0865,0.050291188,1.8463222,6.263948e-12,1.4831812,5.622297e-10,27.131353,0.6666667,4FGL J0021.9-5140,3FGL J0022.1-5141,bll,1RXS J002159.2-514028
1.655009,1.6695031,8737.983,2.504052e-15,2.4267435e-15,2.5126063e-15,0.0,14.63592,131.17288,-0.014653568,0.0,1.8749353e-12,0.0,1.3187011e-10,9.646608,0.6666667,4FGL J0022.0+0006,,bll,RX J0022.0+0006
1.9541789,1.7882982,1482.6697,3.740791e-13,3.880967e-13,3.4957193e-13,0.18697871,26.896915,979.91156,0.10067147,3.656708,7.47183e-12,3.9914646,8.5614754e-10,32.22765,0.6666667,4FGL J0022.1-1854,3FGL J0022.1-1855,bll,1RXS J002209.2-185333
2.1359894,2.0476224,880.4098,3.4498452e-12,3.5510807e-12,3.3592452e-12,0.43549657,239.23526,3644.785,0.058309108,4.2148576,2.2462162e-11,4.3743105,2.3602886e-09,61.90344,0.6666667,4FGL J0022.5+0608,3FGL J0022.5+0608,bll,PKS 0019+058
2.8291116,2.7684422,404.76788,4.913994e-12,5.145898e-12,4.3976637e-12,0.46483153,53.35165,1429.0471,0.15725316,2.8196611,4.3050633e-12,2.3491857,1.6915719e-10,14.539717,0.6666667,4FGL J0023.7-6820,3FGL J0021.6-6835,fsrq,PKS 0021-686
2.445408,2.3824449,917.8061,1.2586474e-12,1.2857135e-12,1.1376812e-12,0.5585473,101.65793,1976.612,0.11953837,3.6941574,7.458092e-12,3.611277,6.775506e-10,24.017208,0.6666667,4FGL J0023.7+4457,3FGL J0023.5+4454,fsrq,B3 0020+446
2.1264398,2.001298,2089.8809,6.683796e-14,6.479953e-14,5.4018262e-14,0.28340095,17.245499,428.327,0.15477678,1.8547531,2.5571708e-12,1.968711,2.2867477e-10,9.318911,0.6666667,4FGL J0023.9+1603,,bll,87GB 002122.5+154553
2.7393348,2.7335813,806.2785,2.7393517e-13,2.6502205e-13,2.786312e-13,0.7741576,34.149303,521.081,-0.03141231,0.152261,1.8258984e-12,0.0,8.883221e-11,4.11527,0.6666667,4FGL J0024.4+4647,,bcu,B3 0021+464
2.5707269,2.6370428,900.40717,2.8846885e-13,2.8045166e-13,1.9561566e-13,1.1735452,60.350643,334.34604,0.30256197,2.2753806,1.335015e-12,2.357295,1.0738518e-10,3.9845252,0.6666667,4FGL J0024.5-0810,,bcu,PMN J0023-0811
2.4535725,2.4469583,1318.8574,8.9061835e-14,9.132995e-14,8.6495474e-14,2.0824275,108.19443,349.6144,0.043295573,0.42422494,1.6374986e-12,0.0,1.1724602e-10,5.2781134,0.6666667,4FGL J0024.7+0349,3FGL J0024.4+0350,fsrq,GB6 J0024+0349
